date,open,high,low,close,volume
2020-11-05,3.418,3.44,3.395,3.418,548497978
2020-11-06,3.428,3.429,3.387,3.408,384234455
2020-11-09,3.435,3.482,3.435,3.468,469912381
2020-11-10,3.491,3.492,3.451,3.466,429095468
2020-11-11,3.462,3.485,3.46,3.464,261744222
2020-11-12,3.465,3.473,3.436,3.447,296467827
2020-11-13,3.431,3.431,3.371,3.388,543852196
2020-11-16,3.41,3.431,3.395,3.429,386260439
2020-11-17,3.425,3.436,3.413,3.43,323618833
2020-11-18,3.43,3.458,3.42,3.435,626648067
2020-11-19,3.424,3.468,3.42,3.46,411932902
2020-11-20,3.462,3.468,3.445,3.465,352204402
2020-11-23,3.472,3.54,3.471,3.521,756216358
2020-11-24,3.521,3.529,3.491,3.493,723999385
2020-11-25,3.505,3.525,3.467,3.468,595775601
2020-11-26,3.468,3.499,3.465,3.497,307163558
2020-11-27,3.498,3.561,3.495,3.557,843676667
2020-11-30,3.516,3.575,3.472,3.473,1467464876
2020-12-01,3.476,3.563,3.476,3.557,811632065
2020-12-02,3.558,3.573,3.525,3.545,541549798
2020-12-03,3.544,3.552,3.521,3.538,545270803
2020-12-04,3.535,3.549,3.501,3.543,442716436
2020-12-07,3.544,3.549,3.492,3.511,486309440
2020-12-08,3.58,3.58,3.488,3.499,436983773
2020-12-09,3.507,3.52,3.465,3.47,512286103
2020-12-10,3.461,3.477,3.439,3.456,458333410
2020-12-11,3.469,3.478,3.403,3.429,540670655
2020-12-14,3.435,3.466,3.43,3.461,303408537
2020-12-15,3.458,3.471,3.437,3.464,300402396
2020-12-16,3.469,3.487,3.463,3.482,382326587
2020-12-17,3.487,3.54,3.482,3.537,631899791
2020-12-18,3.527,3.536,3.487,3.505,726989190
2020-12-21,3.506,3.528,3.472,3.513,538736687
2020-12-22,3.508,3.517,3.458,3.464,821657506
2020-12-23,3.468,3.51,3.468,3.491,778427723
2020-12-24,3.495,3.512,3.47,3.485,342027162
2020-12-25,3.472,3.512,3.461,3.509,507738096
2020-12-28,3.507,3.539,3.495,3.519,437031367
2020-12-29,3.527,3.537,3.506,3.512,288187752
2020-12-30,3.509,3.566,3.504,3.563,535168542
2020-12-31,3.571,3.643,3.571,3.634,668195485
2021-01-04,3.636,3.655,3.598,3.632,570759818
2021-01-05,3.625,3.675,3.608,3.671,844943674
2021-01-06,3.673,3.728,3.661,3.726,651523191
2021-01-07,3.737,3.807,3.722,3.803,588820087
2021-01-08,3.81,3.829,3.745,3.782,814331223
2021-01-11,3.78,3.841,3.75,3.765,619308303
2021-01-12,3.759,3.904,3.755,3.899,714697993
2021-01-13,3.91,3.924,3.835,3.862,648591116
2021-01-14,3.856,3.857,3.791,3.802,562724773
2021-01-15,3.815,3.857,3.775,3.805,699719411
2021-01-18,3.793,3.866,3.788,3.837,551065080
2021-01-19,3.846,3.851,3.78,3.797,432457525
2021-01-20,3.797,3.827,3.774,3.8,485005290
2021-01-21,3.817,3.868,3.801,3.84,532673073
2021-01-22,3.836,3.851,3.81,3.833,462417806
2021-01-25,3.83,3.894,3.813,3.89,1048827430
2021-01-26,3.872,3.874,3.797,3.8,664673144
2021-01-27,3.8,3.821,3.781,3.806,766624223
2021-01-28,3.762,3.768,3.712,3.731,731226749
2021-01-29,3.747,3.755,3.661,3.704,657338669
2021-02-01,3.707,3.733,3.692,3.731,509476743
2021-02-02,3.741,3.756,3.723,3.752,641496022
2021-02-03,3.752,3.782,3.731,3.764,380828212
2021-02-04,3.746,3.808,3.746,3.787,497927696
2021-02-05,3.804,3.864,3.799,3.834,356766657
2021-02-08,3.848,3.884,3.82,3.875,458774035
2021-02-09,3.887,3.94,3.857,3.939,347031586
2021-02-10,3.95,4.03,3.945,4.012,382168884
2021-02-18,4.09,4.099,3.981,4.007,579603469
2021-02-19,3.992,4.008,3.947,3.998,742446617
2021-02-22,4.002,4.005,3.866,3.873,853631895
2021-02-23,3.849,3.927,3.845,3.886,594569639
2021-02-24,3.887,3.896,3.752,3.788,859755074
2021-02-25,3.824,3.862,3.804,3.843,540372102
2021-02-26,3.777,3.808,3.741,3.743,769832381
2021-03-01,3.777,3.78,3.737,3.773,400600102
2021-03-02,3.795,3.796,3.672,3.707,643368721
2021-03-03,3.7,3.806,3.698,3.804,517148432
2021-03-04,3.765,3.772,3.677,3.698,715951650
2021-03-05,3.65,3.712,3.616,3.678,625701694
2021-03-08,3.698,3.717,3.556,3.561,791825886
2021-03-09,3.561,3.585,3.483,3.505,1118752371
2021-03-10,3.547,3.562,3.514,3.523,445455959
2021-03-11,3.539,3.617,3.538,3.614,500166304
2021-03-12,3.631,3.632,3.583,3.617,729295454
2021-03-15,3.601,3.616,3.526,3.558,396806646
2021-03-16,3.566,3.596,3.543,3.582,420298125
2021-03-17,3.576,3.604,3.534,3.576,348177666
2021-03-18,3.58,3.603,3.575,3.591,321935472
2021-03-19,3.551,3.56,3.482,3.496,753210725
2021-03-22,3.491,3.55,3.491,3.523,411897499
2021-03-23,3.524,3.535,3.467,3.504,484198283
2021-03-24,3.488,3.518,3.441,3.454,643580882
2021-03-25,3.441,3.468,3.429,3.452,313949402
2021-03-26,3.465,3.525,3.465,3.514,466843998
2021-03-29,3.525,3.546,3.499,3.521,467377310
2021-03-30,3.522,3.566,3.52,3.561,295522870
2021-03-31,3.559,3.559,3.502,3.527,155181641
2021-04-01,3.538,3.575,3.532,3.567,278829509
2021-04-02,3.582,3.603,3.566,3.601,268663210
2021-04-06,3.604,3.607,3.566,3.578,248361461
2021-04-07,3.58,3.582,3.526,3.542,157320215
2021-04-08,3.534,3.57,3.515,3.558,220107742
2021-04-09,3.548,3.548,3.493,3.506,222900205
2021-04-12,3.495,3.509,3.454,3.468,742060106
2021-04-13,3.462,3.49,3.436,3.45,649756429
2021-04-14,3.452,3.473,3.429,3.456,639346007
2021-04-15,3.448,3.448,3.386,3.419,385693490
2021-04-16,3.423,3.445,3.396,3.434,457624801
2021-04-19,3.43,3.504,3.413,3.5,562866585
2021-04-20,3.482,3.516,3.473,3.492,397561241
2021-04-21,3.473,3.508,3.473,3.498,576098944
2021-04-22,3.508,3.52,3.468,3.481,474319143
2021-04-23,3.473,3.522,3.473,3.514,528040558
