date,open,high,low,close,volume
2020-11-05,2.682,2.695,2.651,2.69,260605815
2020-11-06,2.693,2.697,2.618,2.637,304082339
2020-11-09,2.653,2.736,2.653,2.719,372103458
2020-11-10,2.717,2.717,2.619,2.674,385982619
2020-11-11,2.664,2.671,2.592,2.595,327201379
2020-11-12,2.602,2.628,2.595,2.607,207614441
2020-11-13,2.591,2.628,2.59,2.619,241043610
2020-11-16,2.626,2.627,2.583,2.62,228480113
2020-11-17,2.614,2.622,2.538,2.572,398273700
2020-11-18,2.57,2.59,2.523,2.534,466233593
2020-11-19,2.527,2.56,2.506,2.556,347370014
2020-11-20,2.553,2.584,2.552,2.576,306170480
2020-11-23,2.579,2.612,2.557,2.593,320296569
2020-11-24,2.591,2.604,2.571,2.582,177123510
2020-11-25,2.583,2.585,2.526,2.528,291116096
2020-11-26,2.529,2.542,2.498,2.522,326072919
2020-11-27,2.519,2.546,2.504,2.532,283537802
2020-11-30,2.532,2.563,2.506,2.541,363223175
2020-12-01,2.535,2.608,2.53,2.602,445009820
2020-12-02,2.602,2.607,2.572,2.593,253875072
2020-12-03,2.583,2.628,2.577,2.619,307006064
2020-12-04,2.608,2.64,2.604,2.637,218982832
2020-12-07,2.625,2.643,2.62,2.628,198281873
2020-12-08,2.633,2.659,2.633,2.646,211423499
2020-12-09,2.65,2.665,2.596,2.598,294426485
2020-12-10,2.587,2.642,2.582,2.627,197931497
2020-12-11,2.629,2.637,2.575,2.601,222666043
2020-12-14,2.6,2.641,2.585,2.641,195953047
2020-12-15,2.633,2.668,2.629,2.667,220610448
2020-12-16,2.666,2.677,2.638,2.667,150552479
2020-12-17,2.659,2.695,2.646,2.694,185087694
2020-12-18,2.699,2.706,2.672,2.688,257718366
2020-12-21,2.687,2.781,2.686,2.778,424157741
2020-12-22,2.767,2.792,2.716,2.718,272538532
2020-12-23,2.721,2.768,2.717,2.745,328848465
2020-12-24,2.741,2.753,2.718,2.726,388445564
2020-12-25,2.715,2.749,2.695,2.749,521300967
2020-12-28,2.748,2.764,2.724,2.745,191038814
